(1, 0.36981852049138303, 0.3493412452629459)
(2, 0.3561053525471233, 0.34398858897675927)
(3, 0.3533093689321125, 0.3327048396956367)
(4, 0.35013566022424664, 0.3340200384803456)
(5, 0.35053449308918816, 0.331707955258737)
(6, 0.3489756408079185, 0.34486542769583495)
(7, 0.350792910930365, 0.33778497056286777)
(8, 0.3491804011770808, 0.3396472811694363)
(9, 0.3494412007691354, 0.35058339531109395)
(10, 0.3492354205013892, 0.329996627770363)
(11, 0.34968114145233364, 0.3364324889126129)
(12, 0.34919615355643613, 0.34536331372686574)
(13, 0.34903179158984726, 0.34691565234196764)
(14, 0.3505116265693858, 0.34156583690214126)
(15, 0.3501532932791386, 0.3469042932312631)
(16, 0.35051679448081324, 0.3401087291514229)
(17, 0.35062320552176535, 0.3513093684050633)
(18, 0.3489181773641077, 0.3489274409297612)
(19, 0.3504648470591788, 0.33273944477331474)
(20, 0.3511149927117635, 0.3400246228678536)
(21, 0.35063950599767696, 0.3370796552904722)
(22, 0.3498967732327727, 0.33392516648457093)
(23, 0.3485918179522855, 0.33230287678396503)
(24, 0.34771064867223506, 0.33348802690547735)
(25, 0.34959801941144253, 0.33490399567382456)
(26, 0.3503051184463932, 0.3579157345225269)
(27, 0.34968616737234964, 0.3355636902928175)
(28, 0.35053192691858726, 0.345751200160284)
(29, 0.3518584142463978, 0.3364442204785664)
(30, 0.35016634068749675, 0.34193065614916657)
(31, 0.34986444911142434, 0.3478929432010483)
(32, 0.3507319432395956, 0.33672045525315575)
(33, 0.34973893134611966, 0.35372938320004355)
(34, 0.3501181539928328, 0.3352127703504045)
(35, 0.3490478947751457, 0.34477152119894844)
(36, 0.3500345552402312, 0.34970763416567596)
(37, 0.3503741199883444, 0.3341746333458091)
(38, 0.3489148904031949, 0.34362975055915573)
(39, 0.35099364042314407, 0.3374248262681959)
(40, 0.34852550391389525, 0.33900323997565207)
(41, 0.3499574382782962, 0.35037845671354145)
(42, 0.3488422293888927, 0.3324517366658906)
(43, 0.35017616001890606, 0.3299999107840864)
(44, 0.34980570319421483, 0.34202866131813775)
(45, 0.34906246253654316, 0.33402974520445977)
(46, 0.349989562995818, 0.3322194875265285)
(47, 0.3499996713272924, 0.3394869649573012)
(48, 0.3479011418979003, 0.3392478305510535)
(49, 0.3482398092765549, 0.34049980448215683)
(50, 0.34932109682527696, 0.33296935075515577)
(51, 0.3481633870219662, 0.3456514640444533)
(52, 0.34962558567971114, 0.3371697709082985)
(53, 0.34973726424251345, 0.3639476880418901)
(54, 0.34731575786059915, 0.3509338242269028)
(55, 0.3492403446075197, 0.3302286091109506)
(56, 0.3484442905632952, 0.33166328199945017)
(57, 0.34859867328742866, 0.3327703463232414)
(58, 0.34659709114547155, 0.3451104758140457)
(59, 0.34696489013230164, 0.3311627997270389)
(60, 0.3472835828161176, 0.33202655436133266)
(61, 0.34703038239424966, 0.33668710498583465)
(62, 0.34778648138697377, 0.3349230181502747)
(63, 0.34818310521297335, 0.34394240355431666)
(64, 0.34831673597095963, 0.34100567741166454)
(65, 0.3467916910688373, 0.33021657521391956)
(66, 0.34795875344441385, 0.3440977475786411)
(67, 0.34746874357317764, 0.3413281564970144)
(68, 0.34812503396482736, 0.33430448395770135)
(69, 0.346510412384115, 0.3447293267115791)
(70, 0.34762364027642745, 0.34145431694079886)
(71, 0.3462864585118252, 0.33325116220173023)
(72, 0.34656989969225427, 0.33526978935590496)
(73, 0.34795842231978363, 0.3325311175687935)
(74, 0.3461822427926002, 0.3317481231544936)
(75, 0.3471031001850379, 0.3421468363480908)
(76, 0.34815648078577205, 0.34278110586627364)
(77, 0.3465888092179323, 0.34105649551763256)
(78, 0.34670754755805877, 0.33303716213608936)
(79, 0.3470035579455, 0.3371021022284303)
(80, 0.3466263508829862, 0.3300806677005057)
(81, 0.3459034936735277, 0.3379622249315765)
(82, 0.3475208124405695, 0.34453492267346736)
(83, 0.34704758607920494, 0.3379856393234786)
(84, 0.34665805749179246, 0.34577456718557176)
(85, 0.34676347913133887, 0.33467102293407036)
(86, 0.3469912515405741, 0.36208962585536175)
(87, 0.3461687599173203, 0.3317378776118167)
(88, 0.34514865973311765, 0.32794388989901213)
(89, 0.3462188535066704, 0.3370230476421068)
(90, 0.3464825396753554, 0.3475247889350154)
(91, 0.34649922548771, 0.35373516701681307)
(92, 0.34691187030214293, 0.33003710649508783)
(93, 0.34721391204227997, 0.33710510418499806)
(94, 0.3466261908730058, 0.3288816778884451)
(95, 0.34627636851130233, 0.3320809490574099)
(96, 0.34626566679343207, 0.3344542099873934)
(97, 0.34711427329939487, 0.34155418731222364)
(98, 0.34641140434898854, 0.34615527086307696)
(99, 0.34602444516228303, 0.3282876546256924)
(100, 0.3465503854101237, 0.3353744623838421)
